cup,anno,importo_pagato
C59H17000010001,2021,1708.0
C59H17000010001,2023,301443.0
C59H17000010001,2024,13021.91
C59H17000010001,2025,1172196.14
C59H17000010001,2026,748568.31
C59J21034340001,2022,315728.24
C59J21034340001,2023,4695289.74
C59J21034340001,2024,7381.0
C59J21034340001,2025,214548.82
C62B23001000001,2024,2600.0
C62B23001000001,2025,357767.08
C62B23001000001,2026,278007.96
C62D21000020005,2024,9028.53
C62D21000030005,2023,13540.8
C62D21000030005,2024,103248.14
C62D21000030005,2025,269956.01
C63B20000170001,2022,105154.92
C63B20000170001,2023,137324.0
C63B20000170001,2024,4433.85
C63H21000010005,2023,18720.0
C63H21000010005,2024,389450.95
C64H21000040001,2023,3640.0
C64H21000040001,2024,23931.84
C64H21000050001,2024,17312.17
C64H21000060001,2024,82477.23
C64H21000060001,2025,63373.91
C64H21000070001,2024,2080.0
C64H21000080001,2025,42664.12
C64H21000080001,2026,6789.48
C64H21000090001,2024,16515.2
C64H21000100001,2024,53492.56
C64H21000100001,2025,96062.4
C67B19000000001,2020,2182.87
C67B19000000001,2021,4493.65
C67B19000000001,2022,7672.1
C67B19000000001,2023,68381.86
C67B19000000001,2024,163363.94
C67H21009690005,2024,192657.96
C67H21009690005,2025,1830.0
C67H22001510005,2024,90819.36
C67H22001510005,2025,158306.14
C69H18000140003,2023,71848.59
C71B21001840005,2021,440.0
C71B21001840005,2022,29244.92
C71B21001840005,2023,79902.05
C71B21001840005,2024,66641.91
C71B21001840005,2025,47301.09
C71B21001850005,2021,193400.0
C71B21001850005,2022,29930.2
C71B21001850005,2023,137221.12
C71B21001850005,2024,122860.16
C71B21001850005,2025,461184.78
C71B21001850005,2026,77569.61
C72C20002980001,2024,174400.0
C72C21001130005,2024,33967.23
C73C20000010006,2023,3255.0
C73C20000010006,2024,16241.65
C73C20000010006,2025,6917.6
C73C20000010006,2026,69971.04
C73I20000010001,2020,1707.83
C73I20000010001,2021,6552.79
C73I20000010001,2022,7215.08
C73I20000010001,2023,22602.27
C73I20000010001,2024,304411.47
C73I20000010001,2025,116827.14
C74E20001750001,2022,4141.19
C74F19000090004,2022,24196.0
C74F19000090004,2023,160.0
C74F19000090004,2024,12687.95
C74F19000090004,2025,153947.4
C74F19000090004,2026,13050.83
C74F19000100004,2021,4903.11
C74F19000100004,2022,42393.96
C74F19000100004,2023,160.0
C74F19000100004,2025,1966.81
C74F19000100004,2026,122938.85
C76B19000340001,2022,16026.36
C76B19000340001,2024,10568.58
C76B19000340001,2025,3443.48
C76B19000400002,2020,5170.47
C76B19000400002,2021,31516.52
C76B19000400002,2022,68133.78
C76B19000400002,2023,664062.85
C76B19000400002,2024,19482.78
C77H21002370001,2025,2080.0
C77H21002390001,2023,7225.93
C77H21002390001,2024,1776.32
C77H21002430001,2024,3997.56
C77H21002470001,2024,42489.98
C77H21002470001,2025,14984.35
C81I18000000001,2020,5821.39
C83B20000330001,2022,2676.65
C83B20000330001,2023,1952.0
C83B20000330001,2024,300.0
C86C20000030001,2021,1000.03
C86C20000030001,2023,1769.0
C86C20000030001,2024,1793.42
C91E16000360004,2023,31797.46
C94F19000060001,2024,11681.5
C94F19000060001,2025,3843.0
C94J19000060001,2021,7732.13
C94J19000060001,2022,14153.05
C94J19000060001,2024,97467.55
C94J19000060001,2025,179754.47
C98F19000020001,2021,24855.53
C98F19000020001,2022,8362.92
C98F19000020001,2023,145575.55
C98F19000020001,2024,150488.0
C98F19000020001,2025,147180.0
C99D18000090001,2019,13821.99
C99D18000090001,2020,74880.41
D18D20001590001,2020,14488.52
D18D20001590001,2024,20649.01
D18D20001590001,2025,293821.34
D18D20001590001,2026,147291.94
D22C21001000001,2025,22155.01
D22C21001000001,2026,55167.02
D22C21001010001,2025,88112.68
D23G07000180005,2019,621.74
D23G07000180005,2021,8958.38
D23G07000180005,2024,43016.26
D23G07000180005,2025,217655.75
D23G07000180005,2026,33006.38
D23I18000280005,2020,41396.72
D24B19000000001,2021,1013.96
D24B19000000001,2022,7615.82
D24B19000000001,2024,42363.48
D24B19000000001,2025,24665.33
D24H20000810001,2020,67333.34
D24H20000810001,2021,21810.94
D25F21000970001,2024,17717.56
D25F21000970001,2025,137246.58
D27H20003860001,2022,49415.12
D36C17000000002,2020,116743.52
D36C17000000002,2021,397558.44
D36C17000000002,2022,28047.8
D38D18000070002,2021,15036.43
D38G17000110001,2022,4941.0
D38I20000640005,2021,5073.03
D41B21000310008,2022,6612.42
D41B21000310008,2023,207213.46
D41B21001740001,2024,19806.22
D41C19000150002,2021,12311.95
D41C19000150002,2022,7289.44
D41C19000150002,2023,39028.2
D41C19000150002,2024,86294.47
D41E20000290001,2023,107971.84
D41J20000010001,2021,5264.85
D41J20000010001,2022,2378.27
D43D18000420002,2022,20270.57
D43D18000420002,2023,8678.06
D43D18000420002,2024,53247.95
D44J18000350002,2023,34235.21
D45G18000340003,2019,2778.28
D45G18000340003,2020,3483.1
D45G18000340003,2021,30120.8
D45G18000340003,2023,160185.05
D45G18000340003,2024,92242.77
D46I22000000002,2024,5707.65
D46I22000010001,2023,2154.47
D46I22000010001,2024,2789.2
D48I20000610002,2026,254808.27
D49H17000130002,2019,3441.12
D49H17000130002,2022,232635.47
D52C21000780001,2024,77881.5
D52C21000780001,2025,29165.31
D52C21000800001,2024,350.06
D52C21000800001,2025,34149.14
D64J18000220001,2024,166883.65
D71E19000000002,2020,25198.6
D71E19000000002,2021,114869.39
D71E19000000002,2022,99627.26
D74B17000130002,2018,902.0
D74B17000130002,2019,237523.89
D74B17000130002,2020,51645.73
D74B17000130002,2021,97054.41
D74B17000130002,2022,26895.98
D74B17000140002,2022,2318.0
D74E16000840002,2019,618.54
D74E16000840002,2020,197909.39
D74E16000840002,2021,90335.14
D74E16000840002,2022,175533.26
D74E16000840002,2023,247092.0
D74E16000840002,2024,96493.76
D74E17000550002,2019,105061.29
D74E17000550002,2020,50561.99
D74E17000550002,2021,6376.88
D74J20000010002,2022,2679.84
D74J20000010002,2023,19524.01
D74J20000010002,2025,316952.36
D76C20000000004,2023,52142.65
D76D19000270005,2021,900.0
D78E19000000002,2021,22510.85
D79D19000000002,2020,6709.54
D79D19000000002,2021,15379.4
D79D19000000002,2022,59297.76
D79D19000000002,2023,184026.68
D79D19000000002,2024,5286.36
D81B21005580001,2025,46243.07
D81B21005590001,2025,39238.78
D82C21001250001,2022,60473.01
D82C21001250001,2023,49560.41
D82C21001250001,2024,10066.43
D82C21001250001,2025,220536.06
D87B17000160001,2019,76615.28
D87B17000160001,2020,878.48
D87B17000160001,2021,136239.43
D88E18000320001,2021,5560.25
D88E18000320001,2022,7567.68
D89B19000010001,2022,5279.68
D89B19000010001,2024,62191.23
D89B19000010001,2025,162321.39
E12C21000650001,2022,19321.37
E12C21000650001,2023,202127.76
E12C21000650001,2024,397096.0
E12C21000830001,2025,6344.0
