n,data,codice_regione,nome_corretto,complessivo_numero_asseverazioni,complessivo_totale_investimenti_amessi,complessivo_importo_lavori_ammessi,edifici_condomini_numero_asseverazioni,edifici_condomini_totale_investimenti_amessi,edifici_condomini_importo_lavori_ammessi,edifici_unifamiliari_numero_asseverazioni,edifici_unifamiliari_totale_investimenti_amessi,edifici_unifamiliari_importo_lavori_ammessi,unita_indipendenti_numero_asseverazioni,unita_indipendenti_totale_investimenti_amessi,unita_indipendenti_importo_lavori_ammessi,castelli_aperti_numero_asseverazioni,castelli_aperti_totale_investimenti_amessi,castelli_aperti_importo_lavori_ammessi,nome_sorgente
12,2021-12-31,01,Piemonte,7215,1206213916.72,811138970.96,1167,559835408.49,355445791.13,4600,518862060.65,363010421.79,1446,126330350.44,92305391.85,2,1186097.14,377366.19,Piemonte
13,2021-12-31,16,Puglia,5524,841735193.87,591416450.74,510,331073113.73,203062839.20,3948,405066779.31,311132850.57,1066,105595300.83,77220760.97,,,,Puglia
14,2021-12-31,20,Sardegna,3138,541671370.77,349368935.16,242,209561505.09,119222352.83,2068,240814822.11,168742534.45,828,91295043.57,61404047.88,,,,Sardegna
15,2021-12-31,19,Sicilia,6307,1048887688.13,716050687.94,914,484103450.69,289622417.52,4070,433930036.02,326345531.49,1323,130854201.42,100082738.93,,,,Sicilia
16,2021-12-31,09,Toscana,7777,1067420230.87,754240360.14,938,396940469.89,258931593.61,3478,365314115.89,266437955.16,3361,305165645.09,228870811.37,,,,Toscana
17,2021-12-31,04,Trentino-Alto Adige/Südtirol,1454,318560021.49,240474266.30,616,231301683.15,168830933.87,557,61776736.33,51075647.66,281,25481602.01,20567684.77,,,,Trentino-Alto-Adige
18,2021-12-31,10,Umbria,1586,277970118.12,194895515.40,314,146596766.36,97708510.17,763,81482242.00,60877124.16,509,49891109.76,36309881.07,,,,Umbria
19,2021-12-31,02,Valle d'Aosta/Vallée d'Aoste,241,46567636.76,31602836.90,105,32323397.57,21164836.07,101,10779256.46,7924796.15,35,3464982.73,2513204.68,,,,Valle d'Aosta
20,2021-12-31,05,Veneto,12646,1676054390.82,1225835926.45,929,480202822.12,312866929.04,5907,644996432.98,487193806.83,5810,550855135.72,425775190.58,,,,Veneto
1,2022-01-31,13,Abruzzo,2784,617863353.24,391103814.13,649,393557787.49,227286983.57,1259,140544800.84,99929522.18,876,83760764.91,63887308.38,,,,Abruzzo
2,2022-01-31,17,Basilicata,1131,307453447.56,206873552.60,381,218943750.06,144496118.44,504,60434011.16,44163460.91,245,28012146.73,18186945.64,1,63539.61,27027.61,Basilicata
3,2022-01-31,18,Calabria,3895,698044187.87,488382751.37,613,339962750.66,211141240.42,2155,238695726.81,189328326.88,1127,119385710.40,87913184.07,,,,Calabria
4,2022-01-31,15,Campania,6273,1362678552.74,849163441.11,1413,823108944.60,469415541.78,3564,404370775.16,286436472.18,1296,135198832.98,93311427.15,,,,Campania
5,2022-01-31,08,Emilia-Romagna,9145,1574603117.58,1162694346.50,1652,839362666.82,614050601.19,4240,441156256.22,327923721.33,3253,294084194.54,220720023.98,,,,Emilia-Romagna
6,2022-01-31,06,Friuli-Venezia Giulia,2920,382723466.95,273483658.76,221,132586200.66,81192661.18,1895,185730482.02,142446773.64,804,64406784.27,49844223.94,,,,Friuli-Venezia Giulia
7,2022-01-31,12,Lazio,9402,1692622482.70,1071470157.54,1286,863604204.08,463638612.80,4536,492037694.02,356142644.58,3580,336980584.60,251688900.16,,,,Lazio
8,2022-01-31,07,Liguria,1239,198555716.76,125425834.67,272,98326584.61,54700377.14,593,64362841.53,45646405.28,374,35866290.62,25079052.25,,,,Liguria
9,2022-01-31,03,Lombardia,16268,2976480986.51,2166828250.77,2573,1489278990.37,1010879352.22,7555,857517482.84,661853583.16,6140,629684513.30,494095315.39,,,,Lombardia
10,2022-01-31,11,Marche,2462,467260616.28,326466837.65,589,281590600.31,188000107.77,1044,111003602.95,83378101.31,829,74666413.02,55088628.57,,,,Marche
11,2022-01-31,14,Molise,620,116196579.46,75442551.77,118,58313537.76,36120461.39,291,35789304.28,23891163.87,211,22093737.42,15430926.51,,,,Molise
12,2022-01-31,01,Piemonte,8024,1333662604.18,915207952.29,1294,614824733.28,404369200.09,5134,577827753.01,406931088.56,1594,139824020.75,103530297.45,2,1186097.14,377366.19,Piemonte
13,2022-01-31,16,Puglia,6311,968396217.03,683718509.33,585,377321055.42,231910992.48,4534,471645470.52,363799668.34,1192,119429691.09,88007848.51,,,,Puglia
14,2022-01-31,20,Sardegna,3558,628434251.83,408112599.60,290,250688409.39,142669406.78,2328,273614529.24,193818133.93,940,104131313.20,71625058.89,,,,Sardegna
15,2022-01-31,19,Sicilia,7214,1212410993.56,835168728.69,1047,561411062.77,341608948.79,4688,504477475.37,380474980.33,1479,146522455.42,113084799.57,,,,Sicilia
16,2022-01-31,09,Toscana,8455,1178878466.62,836408793.63,1047,450971721.04,295407034.65,3776,398049163.03,292213929.81,3632,329857582.55,248787829.17,,,,Toscana
17,2022-01-31,04,Trentino-Alto Adige/Südtirol,1901,398281122.22,309120196.39,799,282371194.78,212177600.77,731,81736575.94,68359061.03,371,34173351.50,28583534.59,,,,Trentino-Alto-Adige
18,2022-01-31,10,Umbria,1772,312044146.55,219518441.40,357,165009027.07,109238904.94,850,91306806.42,68943680.33,565,55728313.06,41335856.13,,,,Umbria
19,2022-01-31,02,Valle d'Aosta/Vallée d'Aoste,281,54608850.78,36456699.44,125,38594122.12,24702203.23,116,12328295.06,9155453.84,40,3686433.60,2599042.37,,,,Valle d'Aosta
20,2022-01-31,05,Veneto,13933,1851459880.44,1363645212.92,1037,532546198.32,349247433.08,6549,718577583.32,545530022.58,6347,600336098.80,468867757.26,,,,Veneto
1,2022-02-28,13,Abruzzo,3202,714727924.69,453320384.45,754,455511446.90,265096653.19,1472,164889787.83,117083832.88,976,94326689.96,71139898.38,,,,Abruzzo
2,2022-02-28,17,Basilicata,1271,342060203.07,231711553.41,417,241793820.24,160410548.41,589,70514899.88,51310242.50,264,29687943.34,19963734.89,1,63539.61,27027.61,Basilicata
3,2022-02-28,18,Calabria,4488,805257235.36,568394108.20,711,386423896.27,245398662.29,2509,283443720.33,223173309.56,1268,135389618.76,99822136.35,,,,Calabria
4,2022-02-28,15,Campania,7103,1559952824.01,979527770.81,1595,941328900.46,541344655.80,4020,462123497.61,329820466.18,1488,156500425.94,108362648.83,,,,Campania
5,2022-02-28,08,Emilia-Romagna,10255,1798347941.80,1333099367.97,1890,976787336.25,714605646.05,4732,494386974.35,370259813.45,3633,327173631.20,248233908.47,,,,Emilia-Romagna
6,2022-02-28,06,Friuli-Venezia Giulia,3278,429682487.17,308726353.43,253,147188817.85,91001433.69,2114,209807309.42,160976377.04,911,72686359.90,56748542.70,,,,Friuli-Venezia Giulia
7,2022-02-28,12,Lazio,10740,1958768201.09,1246729121.32,1503,1002126526.69,546614739.03,5181,570394571.81,412312831.82,4056,386247102.59,287801550.47,,,,Lazio
8,2022-02-28,07,Liguria,1408,230203738.81,146895481.13,318,117695223.64,66470501.86,673,72704631.24,51907911.39,417,39803883.93,28517067.88,,,,Liguria
9,2022-02-28,03,Lombardia,18740,3489806105.82,2539592847.56,3048,1775761393.65,1202011537.56,8683,989475307.09,767377167.58,7009,724569405.08,570204142.42,,,,Lombardia
10,2022-02-28,11,Marche,2728,523345343.08,367610235.16,655,316292887.03,212730213.24,1158,124345234.61,93486584.74,915,82707221.44,61393437.18,,,,Marche
11,2022-02-28,14,Molise,702,132577893.00,86065678.84,139,67055252.08,41500340.31,336,41944157.17,27388744.70,227,23578483.75,17176593.83,,,,Molise
12,2022-02-28,01,Piemonte,8920,1491841780.07,1031686153.09,1454,691145883.53,459358854.42,5712,645563137.70,457057553.97,1752,153946661.70,114544978.12,2,1186097.14,724766.58,Piemonte
13,2022-02-28,16,Puglia,7203,1125196103.33,795898783.07,688,446918799.32,275234404.96,5154,540977047.15,419244013.18,1361,137300256.86,101420364.93,,,,Puglia
14,2022-02-28,20,Sardegna,4065,719012009.68,474119424.30,324,279338385.16,162288480.94,2665,318890826.42,227820562.74,1076,120782798.10,84010380.62,,,,Sardegna
15,2022-02-28,19,Sicilia,8313,1426856376.82,985689254.12,1245,666459731.11,411943675.63,5400,592762148.20,443575989.87,1668,167634497.51,130169588.62,,,,Sicilia
16,2022-02-28,09,Toscana,9455,1332865524.77,952185402.05,1183,515330099.17,342615639.73,4242,450388745.09,330165483.56,4030,367146680.51,279404278.76,,,,Toscana
17,2022-02-28,04,Trentino-Alto Adige/Südtirol,2658,540214651.82,414587960.07,1127,377533794.23,279044452.72,1030,116135780.41,96538397.75,501,46545077.18,39005109.60,,,,Trentino-Alto-Adige
18,2022-02-28,10,Umbria,1997,354682508.98,249869837.88,412,187972336.64,125442168.77,969,105552216.56,78854535.39,616,61157955.78,45573133.72,,,,Umbria
19,2022-02-28,02,Valle d'Aosta/Vallée d'Aoste,313,61449434.60,42008908.97,137,43427991.56,28724310.65,129,13797749.96,10343150.88,47,4223693.08,2941447.44,,,,Valle d'Aosta
20,2022-02-28,05,Veneto,15709,2107659936.75,1565011661.36,1197,622835619.92,413104529.30,7390,812215377.66,620581319.36,7122,672608939.17,531325812.70,,,,Veneto
1,2022-03-31,13,Abruzzo,3667,824275406.17,526952821.34,870,527274262.09,310265219.50,1733,194107251.65,138293131.67,1064,102893892.43,78394470.17,,,,Abruzzo
2,2022-03-31,17,Basilicata,1431,374929388.18,258953757.78,454,260574004.21,177551215.56,679,81367917.35,59027142.24,297,32923927.01,22348372.37,1,63539.61,27027.61,Basilicata
3,2022-03-31,18,Calabria,5250,936616041.07,658517299.44,809,437977162.75,280054560.76,2950,340032726.26,262130642.77,1491,158606152.06,116332095.91,,,,Calabria
